place,child_lat,child_lon,current_name,type,parent_node,parent_lat,parent_lon,is_single,creation_date,comment,oblast,
Обухів Київської обл.,50.109938,30.6298846,,raion,Васильків,50.1770891,30.3196385,FALSE,1941-08-01 00:00:00,,Київська,
Бишів Київської обл.,50.264608,29.8835744,,raion,Васильків,50.1770891,30.3196385,FALSE,1941-07-10 00:00:00,,Київська,
Макарів Київської обл.,50.4573262,29.8126551,,raion,Васильків,50.1770891,30.3196385,FALSE,1941-07-10 00:00:00,"незрозуміло, яка округа. Можливо, Васильківська.",Київська,
Ржищів Київської обл.,49.9657673,31.0432748,,raion,???,,,TRUE,1941-08-21 00:00:00,"незрозуміло, яка округа",Київська,
Переяслав Київської обл.,50.0715832,31.4501543,,"okruga, raion",Київ,50.4501,30.5234,FALSE,1941-09-17 00:00:00,,Київська,
Бориспіль Київської обл.,50.3482,30.95615,,raion,Переяслав,50.0715832,31.4501543,FALSE,1941-09-20 00:00:00,,Київська,
Березань Київської обл.,50.3070969,31.46433,,raion,Переяслав,50.0715832,31.4501543,FALSE,1941-09-17 00:00:00,,Київська,
Баришівка Київської обл.,50.350705,31.3188908,,raion,Переяслав,50.0715832,31.4501543,FALSE,1941-09-21 00:00:00,,Київська,
Кагарлик Київської обл.,49.8620646,30.8192399,,raion,Біла Церква,49.7967977,30.1310853,FALSE,1941-08-03 00:00:00,осередки в селах району,Київська,
Бровари Київської обл.,50.511083,30.7909,,raion,Переяслав,50.0715832,31.4501543,FALSE,1941-09-19 00:00:00,осередки в селах району Семиполки та Вигурівщина.,Київська,
Умань Черкаської обл.,48.74939269999999,30.2214499,,"okruga, raion",,,,TRUE,1941-08-01 00:00:00,,Київська,
Умань Черкаської обл.,48.74939269999999,30.2214499,,"okruga, raion",Київ,50.4501,30.5234,FALSE,1941-10-01 00:00:00,,Київська,
Бабанка Черкаської обл.,48.710098,30.4502572,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,,Київська,
Христинівка Черкаської обл.,48.8117212,29.9738949,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,,Київська,
Тальне Черкаська обл.,48.887593,30.7044131,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,,Київська,
Маньківка Черкаська обл.,48.9614468,30.3375126,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,,Київська,
Ладижинка Черкаська обл.,48.5397574,30.23984,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,,Київська,
Буки Черкаської обл.,49.0945366,30.4050589,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,,Київська,
Підвисоке Новоархангелського р-ну Кіровоградської обл.,48.5761317,30.672081,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,Уманський окружний провід. До 1959 р. райцентр.,Київська,
Гайсин Вінницької обл.,48.8139473,29.3812035,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,Уманський окружний провід.,Київська,
Теплик Вінницької обл.,48.6633108,29.75078139999999,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-08-01 00:00:00,Уманський окружний провід.,Київська,
Джулинка Бершадського р-ну Вінницької обл.,48.4385377,29.75091,,raion,Умань,48.74939269999999,30.2214499,FALSE,1941-07-28,Уманський окружний провід. У 1924-1959 рр. райцентр,Київська,
Черкаси,49.444433,32.059767,,okruga,Київ,50.4501,30.5234,FALSE,1941-09-01 00:00:00,,Київська,
